Temperature_C,Time_hours,pH,Enzyme_mL,Substrate_gL,Inoculum_mL,Biofuel_Yield_gL
36.2,44.2,5.41,10.0,131.9,7.1,5.0
34.7,43.5,5.33,18.0,137.6,15.6,11.55
36.6,24.0,5.73,10.0,87.2,5.0,5.0
38.8,46.3,5.43,26.2,169.0,5.4,5.0
34.4,78.8,5.56,19.6,124.5,5.0,5.0
34.4,28.9,4.99,10.0,51.1,10.6,5.0
38.9,92.2,5.62,18.1,138.7,5.0,5.0
36.9,69.7,5.55,34.3,169.7,5.0,5.0
33.8,37.8,5.14,17.0,87.6,5.0,5.0
36.4,50.9,5.64,10.0,55.7,5.0,5.0
33.8,96.0,5.47,37.1,171.1,5.0,5.0
33.8,78.8,5.52,23.5,196.4,6.1,5.0
35.6,54.8,5.28,10.0,61.5,12.1,5.0
30.2,48.5,5.48,28.1,190.7,5.6,5.0
30.7,56.7,4.98,10.0,103.9,8.5,5.0
33.6,42.3,5.15,37.6,191.2,5.0,5.0
32.5,24.0,5.79,23.0,147.3,5.0,5.0
35.8,96.0,5.25,23.6,183.5,6.8,5.0
32.7,59.0,5.32,27.4,167.9,9.6,7.54
31.5,66.6,5.63,10.0,54.2,5.0,5.0
38.7,53.0,5.51,10.0,59.8,5.0,5.0
34.4,37.8,5.59,13.3,128.9,5.0,5.0
35.2,49.8,5.86,10.0,69.4,9.3,5.0
31.4,24.5,5.51,28.8,119.2,5.0,5.0
33.6,96.0,5.28,22.2,193.2,5.9,5.0
35.3,29.5,5.17,22.6,94.2,5.0,5.0
32.1,32.6,5.12,14.3,123.3,11.1,5.0
35.9,43.8,5.52,20.1,107.6,5.0,5.0
33.5,96.0,5.19,24.0,144.5,6.8,5.0
34.3,55.0,5.56,15.2,79.1,5.0,5.0
33.5,29.4,4.98,17.0,89.0,6.8,5.0
39.6,96.0,5.38,18.8,178.8,5.0,5.0
35.0,78.7,5.59,22.4,171.7,5.0,5.0
32.4,71.5,5.83,18.4,168.4,5.0,5.0
37.1,78.1,5.94,25.8,165.6,5.0,5.0
31.9,96.0,5.71,11.2,118.9,5.0,5.0
35.5,96.0,5.36,14.0,159.3,6.9,5.0
30.1,38.7,5.69,15.0,108.1,7.8,5.0
31.7,96.0,5.27,10.0,65.1,5.0,5.0
35.5,66.1,5.27,17.6,109.0,9.1,6.14
36.8,70.1,5.2,10.0,73.8,6.8,5.0
35.4,24.0,5.64,12.1,108.6,5.0,5.0
34.7,50.1,5.25,10.0,94.6,5.0,5.0
34.2,36.4,5.3,29.2,139.9,5.0,5.0
31.3,82.6,5.52,10.0,104.2,5.0,5.0
33.2,93.3,5.63,21.6,155.8,14.1,7.09
33.8,24.0,5.53,10.1,126.8,8.8,5.0
37.6,54.0,5.38,24.0,187.9,9.0,7.0
35.9,95.7,5.46,18.3,63.7,5.0,5.0
30.6,49.7,5.44,24.5,153.2,8.5,5.0
35.8,78.6,5.49,19.0,150.9,5.6,5.0
